,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
57,20170627,I888,463.0,441.0,464.5,438.0,2833952.0,2.415828164213167,64.08788206796461,313.3333333333345,41.690417887520915,33.834017810423546
58,20170627,J888,1292.0,1250.0,1293.0,1243.0,214230.0,38.86486434724907,84.83736372273104,128.5838637723736,79.6617499165672,33.834017810423546
59,20170627,RB888,2336.0,2264.0,2337.0,2244.0,6593804.0,24.251798043168492,60.75862076041364,154.60757999733468,28.043030774777073,33.834017810423546
60,20170628,I888,464.0,463.5,467.0,460.0,2114730.0,3.733130283720243,64.43422872056436,343.3962264150955,44.163868075608384,14.847175544957874
61,20170628,J888,1304.5,1293.0,1314.5,1280.0,192848.0,42.29259826503903,85.45763094772585,131.64876597658198,81.69502757579387,14.847175544957874
62,20170628,RB888,2391.0,2338.0,2403.0,2336.0,6083548.0,33.68255993725916,63.75255919982556,202.49988318302877,39.00857513803041,14.847175544957874
63,20170629,I888,483.5,466.5,491.0,465.5,3448740.0,6.016505485435175,70.22659871405907,362.65529389950234,61.098194497546785,21.781949005388704
64,20170629,J888,1364.5,1301.5,1400.5,1301.5,319236.0,48.467031397515484,87.91286069817608,153.40669031145217,87.17664267021426,21.781949005388704
65,20170629,RB888,2409.0,2400.0,2442.0,2364.0,8409380.0,41.789989298493765,64.66527053845513,198.79323651161187,44.36404126900444,21.781949005388704
66,20170630,I888,480.0,481.5,483.0,471.5,2055140.0,7.478261426870745,68.16528538783487,252.74288920540627,61.098194497546764,9.734456256323142
67,20170630,J888,1365.0,1364.0,1372.0,1334.5,185624.0,52.71498105160026,87.93042742619437,138.84341040739133,87.17664267021425,9.734456256323142
68,20170630,RB888,2459.0,2403.0,2467.0,2385.0,7499712.0,50.97915577765616,67.0494529604584,196.7612591308003,47.521577667913284,9.734456256323142
69,20170703,I888,493.5,477.0,494.5,476.5,2282410.0,9.453390588232025,71.50287135055913,241.2225121133072,66.63826422841652,11.781286898367558
70,20170703,J888,1409.0,1363.0,1409.0,1355.5,196812.0,58.41692695331358,89.34069685749051,144.80250541209833,88.82224439109712,11.781286898367558
71,20170703,RB888,2525.0,2453.0,2527.0,2445.0,7327914.0,62.05175570391975,69.82929640202181,209.52478022678056,54.19140644233603,11.781286898367558
72,20170704,I888,471.5,495.5,499.5,468.5,2872450.0,9.349043551639625,60.76334050084125,165.5862103623302,50.68095438765251,4.203632821014214
73,20170704,J888,1374.5,1403.0,1423.5,1360.5,237170.0,59.76614079754336,81.60634697100434,129.75642387754297,89.39249556089672,4.203632821014214
74,20170704,RB888,2472.0,2517.0,2560.0,2453.0,7666870.0,66.2487906386259,65.25596064613777,179.7088342731497,57.37641275691908,4.203632821014214
